반복 : 0 쌍 (23, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (145, 2) 이산형 비용: -inf, 연속형 비용: -0.07832611631971531, 총 비용: -inf
반복 : 0 쌍 (145, 7) 이산형 비용: -inf, 연속형 비용: -0.19901577149212812, 총 비용: -inf
반복 : 0 쌍 (145, 6) 이산형 비용: -inf, 연속형 비용: -0.41576453996503915, 총 비용: -inf
반복 : 0 쌍 (145, 5) 이산형 비용: -inf, 연속형 비용: -0.21625715080247687, 총 비용: -inf
반복 : 0 쌍 (145, 0) 이산형 비용: -inf, 연속형 비용: -0.12802419354838435, 총 비용: -inf
반복 : 0 쌍 (145, 1) 이산형 비용: -inf, 연속형 비용: -0.14589590285504528, 총 비용: -inf
반복 : 0 쌍 (145, 8) 이산형 비용: -inf, 연속형 비용: -0.2211832591768541, 총 비용: -inf
반복 : 0 쌍 (145, 4) 이산형 비용: -inf, 연속형 비용: -0.4879032258064626, 총 비용: -inf
반복 : 0 쌍 (158, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.8394888344526805, 총 비용: 598.160511165547
반복 : 0 쌍 (158, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -3.548848919434306, 총 비용: 596.4511510805653
반복 : 0 쌍 (158, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -3.669538574606719, 총 비용: 596.330461425393
반복 : 0 쌍 (158, 6) 이산형 비용: 16.0, 연속형 비용: -0.3000804465278861, 총 비용: 1599.6999195534722
반복 : 0 쌍 (158, 5) 이산형 비용: 9.999999999999996, 연속형 비용: -3.6867799539170676, 총 비용: 996.3132200460826
반복 : 0 쌍 (158, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: -3.430443548387103, 총 비용: 396.5695564516126
반복 : 0 쌍 (158, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: -3.556648591027084, 총 비용: 196.44335140897257
반복 : 0 쌍 (158, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: -3.691706062291445, 총 비용: 196.3082939377082
반복 : 0 쌍 (158, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -2.331491522624731, 총 비용: 397.6685084773749
반복 : 0 쌍 (164, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 599.518212365591
반복 : 0 쌍 (164, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.6801058716033879, 총 비용: 598.3198941283963
반복 : 0 쌍 (164, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.8007955267758007, 총 비용: 598.1992044732239
반복 : 0 쌍 (164, 6) 이산형 비용: 16.0, 연속형 비용: -0.3623718814556014, 총 비용: 1599.6376281185444
